SNo,Province/ Territory,Name,adj_name,Population -2011
137,Ontario,Toronto,toronto,2615060
262,Quebec,Montreal,montreal,1649519
120,Ontario,Ottawa,ottawa,883391
114,Ontario,Mississauga,mississauga,713443
94,Ontario,Brampton,brampton,523911
107,Ontario,Hamilton,hamilton,519949
287,Quebec,Québec,quebec,516622
235,Quebec,Laval,laval,401553
112,Ontario,London,london,366151
113,Ontario,Markham,markham,301709
138,Ontario,Vaughan,vaughan,288301
213,Quebec,Gatineau,gatineau,265349
244,Quebec,Longueuil,longueuil,231409
111,Ontario,Kitchener,kitchener,219153
141,Ontario,Windsor,windsor,210891
98,Ontario,Burlington,burlington,175779
104,Ontario,Greater Sudbury,greatersudbury,160274
345,Quebec,Sherbrooke,sherbrooke,154601
119,Ontario,Oshawa,oshawa,149607
297,Quebec,Saguenay,saguenay,144746
240,Quebec,Lévis,levis,138769
92,Ontario,Barrie,barrie,136063
130,Ontario,St. Catharines,st.catharines,131400
99,Ontario,Cambridge,cambridge,126748
110,Ontario,Kingston,kingston,123363
105,Ontario,Guelph,guelph,121688
135,Ontario,Thunder Bay,thunderbay,108359
351,Quebec,Terrebonne,terrebonne,106322
139,Ontario,Waterloo,waterloo,98780
96,Ontario,Brantford,brantford,93650
124,Ontario,Pickering,pickering,88721
115,Ontario,Niagara Falls,niagarafalls,82997
288,Quebec,Repentigny,repentigny,82000
170,Quebec,Brossard,brossard,79273
123,Ontario,Peterborough,peterborough,78698
129,Ontario,Sault Ste. Marie,saultste.marie,75141
108,Ontario,Kawartha Lakes,kawarthalakes,73214
128,Ontario,Sarnia,sarnia,72366
203,Quebec,Drummondville,drummondville,71852
215,Quebec,Granby,granby,63433
116,Ontario,Norfolk County,norfolkcounty,63175
117,Ontario,North Bay,northbay,53651
163,Quebec,Blainville,blainville,53510
140,Ontario,Welland,welland,50631
344,Quebec,Shawinigan,shawinigan,50060
93,Ontario,Belleville,belleville,49454
291,Quebec,Rimouski,rimouski,46860
101,Ontario,Cornwall,cornwall,46340
182,Quebec,Châteauguay,chateauguay,45904
106,Ontario,Haldimand County,haldimandcounty,44876
360,Quebec,Victoriaville,victoriaville,43462
136,Ontario,Timmins,timmins,43165
127,Ontario,Quinte West,quintewest,43086
252,Quebec,Mascouche,mascouche,42491
258,Quebec,Mirabel,mirabel,41957
167,Quebec,Boucherville,boucherville,40753
131,Ontario,St. Thomas,st.thomas,37905
142,Ontario,Woodstock,woodstock,37754
95,Ontario,Brant,brant,35638
146,Quebec,Alma,alma,30904
132,Ontario,Stratford,stratford,30886
118,Ontario,Orillia,orillia,30586
